Tipo YT,Bench YT CPV,Bench YT CTR,Bench FB AvgVR
Education,0.037,0.56,35.4
Fashion,0.046,0.4,32
Telecommunications,0.048,0.33,31.9
Healthcare & Insurance,0.071,0.45,31.2
Household Appliances,0.047,0.05,30.7
Entertainment,0.035,0.43,30.2
Restaurants,0.037,0.04,29.7
Government & Advocacy,0.04,0.07,29.6
Health & Beauty,0.034,0.44,29.6
Travel,0.047,0.78,29.6
Business & Finance,0.048,0.38,35.4
Science & Technology,0.038,0.31,35.4
Automotive,0.058,0.65,35.4
Electronics,0.042,0.38,35.4
Home & Garden,0.088,0.31,35.4
Retail,0.045,0.84,15.7
Ninguna de las anteriores,0.048,0.65,31.9
